,Text,Tokens,Labelled_topic
1,"This is a wonderfully refreshing citrus drink.  Not too sweet or too sour & just enough bubbles to make it sparkle.  I would imagine it could make a great addition to a punch, if you chose to add it to your favorite fruit juice.  The only draw back for me, is that it is a tad bit too expencive to replace our families normal beverage of choice but it sure does make a terrific treat to keep around for an occational indulgence.","['citrus', 'drink', 'sweet', 'sour', 'bubble', 'sparkle', 'addition', 'punch', 'favorite', 'fruit', 'juice', 'draw', 'tad', 'bit', 'expencive', 'family', 'normal', 'beverage', 'choice', 'terrific', 'treat', 'occational', 'indulgence']",10
24,"Unlike another product I reviewed for Vine, at least this product does not have sugar per se in it. It is carbonated water added to a concentrate mixture of (in this order): apple, grape, tangerine and last - as well as least -- acai concentrate. The first two on the list, apple and grape are two of the most common ""fruit"" sweeteners used in beverages etc. That is why the product tastes sweetened.  It has 140 calories -- quite a lot for 8 oz of flavored carbonated water -- and all of it is from carbohydrates (36 grams) and over 90% of the carbs (34 grams) are sugars. Apple and grapes have some of the highest concentrations of ""fructose"" a fruit sugar that not only commonly appears in commercial beverages because it is sweeter than regular cane sugar and thus it is cheaper to use, but it is also known to cause diarrhea, particularly in children.  So another drink on the hit parade of ""pretend"" healthy drinks- appealing to the masses' concern for their ever-growing girth -- and deluding them that this will help forestall continued growth.  You are better off drinking diet coke. You would be even more better off buying the sparkling flavored waters with no calories. My favorite is Bella Familglia -- in pomegranate, lime, lemon and orange flavors -- and is sold from time to time on Amazon as well as your local supermarket.  Better yet, buy some organic pure fruit juice -- such as pomegranate and pour  1/8 cup in a glass of your favorite sparking water or a quarter cup in a 16 oz bottle of your favorite sparkling water. At least it is the actual juice and not some fructose extract.","['vine', 'se', 'carbonated', 'water', 'concentrate', 'mixture', 'apple', 'grape', 'tangerine', 'acai', 'concentrate', 'list', 'apple', 'grape', 'common', 'fruit', 'sweetener', 'beverage', 'taste', 'calorie', 'lot', 'oz', 'carbonated', 'water', 'carbohydrate', 'gram', 'carbs', 'gram', 'sugar', 'apple', 'grape', 'highest', 'concentration', 'fructose', 'fruit', 'sugar', 'commercial', 'beverage', 'sweeter', 'regular', 'cane', 'sugar', 'cheaper', 'diarrhea', 'child', 'drink', 'hit', 'parade', 'pretend', 'healthy', 'drinks-', 'mass', 'concern', 'ever-growing', 'girth', 'continued', 'growth', 'better', 'diet', 'coke', 'better', 'sparkling', 'water', 'calorie', 'favorite', 'bella', 'familglia', 'pomegranate', 'lime', 'lemon', 'orange', 'flavor', 'time', 'time', 'local', 'supermarket', 'organic', 'pure', 'fruit', 'juice', 'pomegranate', 'pour', 'cup', 'glass', 'favorite', 'sparking', 'water', 'quarter', 'cup', 'oz', 'bottle', 'favorite', 'sparkling', 'water', 'actual', 'juice', 'fructose', 'extract']",10
28,"This product is a great substitute for sugar in drinks.  It doesn't have a funny aftertaste or change the taste of the drinks I put it in.  Obviously, it's a good alternative for sugar, but another reason I purchased it was because of it's benefit on teeth.  Xylitol is used in other countries (I've read) to fight tooth decay and improve oral health in adults and children alike (You must used 8-10 grams daily for this benefit).  My husband and I both use the toothpaste (also excellent) and gum.  Last week I saw a dentist on primetime TV doing a show on oral health, and he strongly recommended Xylitol for children also.","['substitute', 'sugar', 'drink', 'funny', 'aftertaste', 'drink', 'alternative', 'sugar', 'reason', 'teeth', 'xylitol', 'country', 'decay', 'oral', 'health', 'adult', 'child', '8-10', 'gram', 'benefit', 'husband', 'toothpaste', 'excellent', 'gum', 'week', 'dentist', 'primetime', 'tv', 'oral', 'health', 'xylitol', 'child']",10
39,"These were freakin awesome. All 10 LBs were top quality, and better than many restaurants.  Ordering my second batch now.  How I prepare them: place several legs in a pot of boiling water for about a minute, or less if you stir em.  They are already cooked so you just want to heat them up. Cooking them further will ruin them. The end piece will piece will take a bit longer.","['freakin', 'lb', 'better', 'restaurant', 'second', 'batch', 'leg', 'pot', 'water', 'minute', 'end', 'piece', 'bit']",10
40,Purchased this water at first due to the fact I needed the water bottle to fit into a drink holder/case.  It was a win win situation because it tasted great too!,"['water', 'fact', 'water', 'bottle', 'drink', 'win', 'win', 'situation']",10
48,This is probably the best tasting zero calorie flavored water Ive ever had. Becareful though this does have sugar alcohol in it and if you have too much it can cause bowel discomfort.,"['best', 'tasting', 'zero', 'calorie', 'water', 'ive', 'becareful', 'alcohol', 'bowel', 'discomfort']",10
62,"I love this drink. Squeeze a bit into water, lemonade , or club soda. This tastes great. I found it to have a fruit taste a little sweet, and the best part you do not have to use a lot. I found it out to be  better then the Mio. Fits in my bag, no more pricey drinks at stores no more. A few drops and I have a refreshing drink. Everyone in my family really enjoyed it as well.","['drink', 'bit', 'water', 'lemonade', 'club', 'soda', 'fruit', 'little', 'sweet', 'best', 'lot', 'better', 'mio', 'bag', 'pricey', 'drink', 'store', 'drop', 'refreshing', 'drink', 'family']",10
77,"I purchased my 1st order of Miracle Noodle directly from: [...]. I got them for my Mother because she needs to switch to a diet of less carbs and far less calories overall. I purchased the 10 pack of 7oz ""Angel hair"" noodles for $21.99 w/10.89 for shipping for a total of $32.76. A few days later I received the package. I was VERY surprised to find out that each 7oz package of Miracle Noodles ACTUALLY contained OVER 6 3/4 ounces of WATER and LESS THAN 1/4 oz of Noodles!!! While their marketing material does BARELY mention Water content, they are neither CLEAR nor particularly forthcoming about this fact nor the fact that it accounts for OVER 85% of the purchase product and considering the fact that they instruct you to IMMEDIATELY RINSE the Noodles before use, it's not as if your supposed to prepare the noodle using this WATER! - Well for a couple of reasons (including but not limited to the WATER volume) I decided to return them without opening even 1 package so they were COMPLETELY UNUSED). I was instructed (during a PHONE CALL to their main office) to MAIL THEM BACK  (AT MY EXPENSE) and WAS TOLD THAT I WOULD RECEIVE A FULL REFUND. Well it cost me approx another $10 to ship them back (due to the WATER WEIGHT)and a few days later I received a refund of $21.99. I PAID SHIPPING BOTH WAYS!!! So BASICALLY I PAID $20 in shipping to get a $22 so called REFUND - I PAID $42.00 and GOT BACK ONLY $21.99 !!! This may be legal but it is UNETHICAL and WRONG and when I spoke to the rep on the phone this was never mentioned! Especially for a company that claims to STAND BEHIND IT's PRODUCT 100%!!! When I contacted them by email they informed me that ""THIS IS OUR POLICY"" and cited the requisite schpeal on their website. I was NOT informed of this ON THE PHONE CALL at all! This so-called POLICY should be CHANGED! It may be legal but it's hardly ETHICAL or RIGHT! When is OK to get back ONLY HALF of what you spend when you return a product? IT'S NOT!! Not to MENTION THE FACT that YOU're getting LESS THAN 1/4 oz of Noodle in a 7 OZ ""Package!!! RIDICULOUS!! Oh and to make matters worse: When I COMMENTED on their Shipping Policy and Water Weight on their FACEBOOK Fan page; instead of addressing the issues OPENLY, HONESTLY and DIRECTLY they IMMEDIATELY and REPEATEDLY DELETED my COMMENTS and then BLOCKED ME from making comments at all! What's that tell you???","['miracle', 'noodle', 'mother', 'diet', 'carbs', 'calorie', 'pack', 'angel', 'hair', 'noodle', 'total', 'day', 'package', 'surprised', 'package', 'miracle', 'noodle', 'ounce', 'water', 'oz', 'noodle', 'marketing', 'material', 'mention', 'water', 'content', 'clear', 'fact', 'fact', 'purchase', 'fact', 'noodle', 'use', 'noodle', 'water', 'couple', 'reason', 'limited', 'water', 'volume', 'unused', 'phone', 'main', 'office', 'expense', 'refund', 'water', 'weight', 'day', 'refund', 'way', 'refund', 'legal', 'unethical', 'wrong', 'rep', 'phone', 'company', 'email', 'policy', 'requisite', 'schpeal', 'website', 'phone', 'so-called', 'policy', 'legal', 'right', 'half', 'fact', 'oz', 'noodle', 'oz', 'package', 'ridiculous', 'oh', 'matter', 'worse', 'shipping', 'policy', 'water', 'weight', 'facebook', 'fan', 'page', 'issue', 'comment', 'comment']",10
79,"Coconut water with a hint of pineapple, shipped to the US from Indonesia, packaged in (usually) non-recyclable, disposable containers, and catering to the... sports drink market (""good source of electrolytes"")?  I took a  8.5 ounce container and poured 6 servings, for 4 teenagers and 2 adults.  First impression?  The teens (serious athletes) were not told what the drink was, but I did mention that it was being marketed as a potential sports drink.  The result?  No negative votes, but no one would choose it over existing drinks.  Everyone recognized the pineapple flavor instantly.  ""It leaves a strange feeling in my mouth,"" one teen said.  This was probably the coconut water; it had a residual flavor and feel.  There was no straw included with the package, so the opening and pouring needed the assistance of a fork or knife.  It's mostly (cane) sugar water, so why bother?  But the biggest issue is the waste.  Coconut sugar water from Indonesia?  What's the carbon footprint of this product?  And the container has 2 ""recycle"" symbols on it, but, like milk cartons, it is difficult to find a community that will actually keep them out of the landfill.  Bottom line?  It's not that tasty, being little more than sugar water, and the transport and packaging waste really don't fit into a culture (for me) focusing on sustainability.","['coconut', 'water', 'hint', 'pineapple', 'indonesia', 'non-recyclable', 'disposable', 'container', 'sport', 'market', 'source', 'electrolyte', 'ounce', 'container', 'poured', 'serving', 'teenager', 'adult', 'impression', 'teen', 'athlete', 'drink', 'mention', 'potential', 'sport', 'result', 'negative', 'vote', 'drink', 'pineapple', 'flavor', 'strange', 'feeling', 'mouth', 'teen', 'coconut', 'water', 'residual', 'flavor', 'straw', 'package', 'opening', 'pouring', 'assistance', 'fork', 'sugar', 'water', 'bother', 'biggest', 'issue', 'waste', 'coconut', 'sugar', 'water', 'indonesia', 'carbon', 'footprint', 'container', 'symbol', 'milk', 'carton', 'difficult', 'community', 'landfill', 'line', 'sugar', 'water', 'transport', 'packaging', 'waste', 'culture', 'sustainability']",10
126,While it is a bit pricey. I enjoyed this water as a nice alternative to just plain water. I enjoyed the flavoring of the Watermelon. It made it easier to make sure that I am hydrated.,"['bit', 'pricey', 'water', 'alternative', 'water', 'flavoring', 'watermelon', 'easier', 'sure']",10
